timestamp,memberID,inGameName,fanCount,clubStatus
2025/08/08 23:45,"136,916,624,276",CashBaggins,"22,710,307",Active
2025/08/08 23:45,"858,827,110,578",Claimses,"22,400,912",Active
2025/08/08 23:45,"501,946,555,879",GhostlyInsomnia,"37,887,398",Active
2025/08/08 23:45,"903,049,412,215",Top,"20,986,887",Active
2025/08/08 23:45,"974,000,987,296",WaveofGratitude,"4,182,525",Active
2025/08/08 23:45,"233,326,457,991",Kino,"9,678,234",Active
2025/08/08 23:45,"218,920,851,907",Dill Dough,"32,037,109",Active
2025/08/08 23:45,"880,360,629,036",Gearras,"27,854,940",Active
2025/08/08 23:45,"336,227,182,745",Keyevin,"10,798,672",Active
2025/08/08 23:45,"773,711,119,119",Magnos,"28,247,814",Pending
2025/08/08 23:45,"759,332,989,174",Pygums,"33,838,338",Active
2025/08/08 23:45,"798,189,422,300",Ray,"23,176,520",Active
2025/08/08 23:45,"461,448,286,660",Walzy,"8,748,349",Active
2025/08/08 23:45,"672,866,355,033",Epidemic,"73,147,295",Active
2025/08/08 23:45,"820,033,818,439",d,"42,476,849",Active
2025/08/09 1:01,"877,841,519,612",Yuto,"51,458,466",Active
2025/08/09 7:31,"475,657,967,902",gumgum,"20,431,512",Active
2025/08/09 7:31,"671,913,981,458",Eunoia,"14,392,516",Active
2025/08/09 8:03,"751,211,063,525",Smokee,"21,658,147",Pending
2025/08/09 8:03,"192,341,494,286",paxmix,"24,719,313",Pending
2025/08/09 8:40,"136,916,624,276",CashBaggins,"24,167,369",Active
2025/08/09 8:40,"903,049,412,215",Top,"21,105,762",Active
2025/08/09 8:40,"974,000,987,296",WaveofGratitude,"4,949,294",Active
2025/08/09 8:40,"501,946,555,879",GhostlyInsomnia,"39,142,366",Active
2025/08/09 8:40,"233,326,457,991",Kino,"10,728,330",Active
2025/08/09 8:40,"858,827,110,578",Claimses,"22,605,732",Active
2025/08/09 8:40,"820,033,818,439",d,"42,481,963",Active
2025/08/09 8:40,"877,841,519,612",Yuto,"52,014,009",Active
2025/08/09 8:40,"218,920,851,907",Dill Dough,"34,019,174",Active
2025/08/09 8:40,"759,332,989,174",Pygums,"33,914,691",Active
2025/08/09 8:40,"671,913,981,458",Eunoia,"15,666,218",Active
2025/08/09 8:40,"461,448,286,660",Walzy,"9,280,624",Active
2025/08/09 8:40,"336,227,182,745",Keyevin,"11,158,927",Active
2025/08/09 8:40,"475,657,967,902",gumgum,"20,431,512",Active
2025/08/09 8:40,"751,211,063,525",Smokee,"22,807,576",Pending
2025/08/09 8:40,"798,189,422,300",Ray,"23,908,910",Active
2025/08/09 8:40,"192,341,494,286",paxmix,"24,727,190",Pending
2025/08/09 8:40,"880,360,629,036",Gearras,"28,219,848",Active
2025/08/09 8:40,"773,711,119,119",Magnos,"29,851,533",Pending
2025/08/09 8:40,"672,866,355,033",Epidemic,"74,042,332",Active
2025/08/09 18:54,"136,916,624,276",CashBaggins,"24,825,225",Active
2025/08/09 18:54,"903,049,412,215",Top,"22,103,509",Active
2025/08/09 18:54,"974,000,987,296",WaveofGratitude,"6,300,248",Active
2025/08/09 18:54,"501,946,555,879",GhostlyInsomnia,"39,142,366",Active
2025/08/09 18:54,"233,326,457,991",Kino,"10,728,330",Active
2025/08/09 18:54,"858,827,110,578",Claimses,"22,903,127",Active
2025/08/09 18:54,"820,033,818,439",d,"43,199,373",Active
2025/08/09 18:54,"877,841,519,612",Yuto,"52,902,107",Active
2025/08/09 18:54,"218,920,851,907",Dill Dough,"34,366,322",Active
2025/08/09 18:54,"759,332,989,174",Pygums,"34,079,504",Active
2025/08/09 18:54,"671,913,981,458",Eunoia,"15,666,218",Active
2025/08/09 18:54,"798,189,422,300",Ray,"24,561,995",Active
2025/08/09 18:54,"672,866,355,033",Epidemic,"74,958,956",Active
2025/08/09 18:54,"880,360,629,036",Gearras,"30,391,682",Active
2025/08/09 18:54,"461,448,286,660",Walzy,"9,280,624",Active
2025/08/09 18:54,"336,227,182,745",Keyevin,"11,480,965",Active
2025/08/09 18:54,"475,657,967,902",gumgum,"20,440,957",Active
2025/08/09 18:54,"751,211,063,525",Smokee,"22,807,576",Pending
2025/08/09 18:54,"192,341,494,286",paxmix,"25,873,733",Pending
2025/08/09 18:54,"773,711,119,119",Magnos,"30,132,210",Pending
2025/08/09 18:54,"215,127,827,107",Boredom,"53,851,688",Pending
2025/08/09 18:58,PENDING000,SmillBlisser,"28,246,592",Active
2025/08/09 18:58,PENDING001,StarLight,"18,712,751",Active
2025/08/09 18:58,PENDING002,cinciol,"10,026,129",Active
2025/08/09 20:20,"136,916,624,276",CashBaggins,"24,825,225",Active
2025/08/09 20:20,"903,049,412,215",Top,"22,460,032",Active
2025/08/09 20:20,"974,000,987,296",WaveofGratitude,"6,302,068",Active
2025/08/09 20:20,"501,946,555,879",GhostlyInsomnia,"39,142,366",Active
2025/08/09 20:20,"233,326,457,991",Kino,"10,728,330",Active
2025/08/09 20:20,"858,827,110,578",Claimses,"22,903,127",Active
2025/08/09 20:20,"820,033,818,439",d,"43,199,373",Active
2025/08/09 20:20,"877,841,519,612",Yuto,"52,902,107",Active
2025/08/09 20:20,"218,920,851,907",Dill Dough,"35,124,894",Active
2025/08/09 20:20,"759,332,989,174",Pygums,"34,079,504",Active
2025/08/09 20:20,"671,913,981,458",Eunoia,"15,675,013",Active
2025/08/09 20:20,"798,189,422,300",Ray,"24,561,995",Active
2025/08/09 20:20,"672,866,355,033",Epidemic,"74,958,956",Active
